map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | T 4 6
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | T 5 7
W | S swordsman
W | W
W | W
W | T 9 0
S swordsman | W
W | W
W | W
W | W
F 5 8 | W
W | T 7 5
W | W
W | T 7 7
T 0 8 | W
T 5 8 | W
W | W
W | S archer
F 4 6 | W
W | S archer
S swordsman | F 0 3
F 1 7 | W
W | T 1 6
W | F 9 1
W | W
W | S swordsman
T 9 5 | T 1 3
S swordsman | W
T 8 0 | W
W | W
W | W
T 8 0 | W
W | W
T 1 7 | W
T 5 3 | W
W | F 4 3
T 8 5 | W
S swordsman | S swordsman
W | W
W | W
W | W
S swordsman | S swordsman
F 0 3 | W
W | F 5 6
F 9 3 | W
S swordsman | W
W | F 6 0
W | F 5 1
F 3 1 | W
F 7 2 | W
F 3 2 | W
S swordsman | W
W | W
W | F 1 8
F 1 0 | W
W | F 7 9
W | W
F 5 6 | T 0 8
W | W
S archer | W
F 3 0 | W
W | W
F 1 7 | W
W | W
F 8 1 | S archer
S archer | W
W | W
W | W
T 7 6 | S swordsman
W | T 1 7
W | W
F 0 4 | T 1 8
W | S swordsman
W | W
W | W
F 6 2 | F 9 9
W | S swordsman
W | W
W | W
F 2 6 | T 9 3
S archer | S archer
F 9 1 | W
W | W
F 2 1 | F 4 9
T 1 7 | W
W | W
S swordsman | W
S swordsman | W
W | W
W | W
W | T 1 6
W | S swordsman
S swordsman | T 3 3
W | W
S archer | W
T 0 1 | F 0 4
T 4 0 | F 9 7
W | F 9 0
W | T 2 3
W | T 0 8
W | W
W | S swordsman
T 6 0 | S swordsman
W | T 6 9
W | S swordsman
W | W
F 1 4 | W
T 1 7 | T 1 8
W | S archer
F 2 7 | T 4 2
W | T 9 1
W | W
W | W
W | F 6 5
W | W
T 7 6 | F 4 9
T 7 2 | W
W | W
F 2 3 | T 8 4
T 7 5 | W
T 7 2 | W
S swordsman | F 3 8
W | F 7 6
W | S swordsman
W | W
S archer | W
W | W
S swordsman | T 1 5
S archer | S swordsman
W | W
S swordsman | W
W | W
W | W
W | W
F 1 3 | S swordsman
W | W
F 7 0 | W
W | W
T 2 2 | F 8 5
T 0 1 | T 7 1
F 0 7 | W
W | W
S swordsman | F 4 0
F 6 8 | T 2 8
T 3 9 | T 8 4
W | W
W | T 3 1
W | W
W | T 3 2
W | W
W | S swordsman
W | W
W | W
W | S archer
W | T 1 5
S archer | W
S archer | W
W | W
F 3 7 | W
W | S swordsman
F 9 9 | W
W | T 9 9
W | W
S swordsman | T 0 8
S swordsman | W
W | W
F 2 9 | W
W | W
W | W
W | T 3 5
W | W
T 5 9 | T 2 7
W | W
S swordsman | T 8 5
W | T 2 2
F 9 4 | W
W | W
W | W
T 4 4 | W
F 1 6 | W
T 6 7 | W
W | W
W | T 0 8
W | W
W | S swordsman
T 4 1 | W
T 4 2 | W
T 6 8 | W
W | W
S swordsman | W
W | S archer
T 4 6 | F 2 7
W | W
W | W
W | W
W | T 9 9
F 5 2 | W
W | W
F 9 2 | W
W | W
T 3 9 | W
S archer | W
W | W
W | W
S swordsman | F 4 8
W | W
W | W
W | S swordsman
W | W
W | T 7 2
T 9 0 | T 4 5
W | W
W | W
W | F 1 8
W | T 9 0
W | W
W | W
T 1 2 | W
T 1 3 | F 8 5
W | W
W | W
W | W
F 9 0 | T 1 6
T 8 9 | W
W | W
T 7 9 | W
W | T 8 4
W | S swordsman
W | W
W | W
F 6 9 | S swordsman
S archer | F 3 0
W | F 4 4
T 1 9 | W
W | W
S swordsman | W
W | W
S archer | W
S archer | S archer
T 3 7 | W
W | S swordsman
T 4 7 | T 5 7
T 2 9 | F 2 1
F 4 3 | W
W | W
T 7 8 | W
W | F 2 3
W | W
T 2 8 | W
W | S swordsman
F 2 2 | T 4 6
S archer | F 6 8
F 9 1 | W
W | W
W | W
F 3 2 | W
W | W
W | W
W | W
W | W
S swordsman | W
S archer | W
F 4 3 | S archer
W | W
F 0 5 | W
S archer | F 3 6
T 1 3 | W
W | T 9 4
W | W
W | S swordsman
T 1 6 | W
W | W
S swordsman | W
T 6 0 | W
T 2 8 | W
T 5 6 | W
W | W
W | F 8 5
T 1 2 | W
W | F 4 5
W | W
W | S swordsman
F 5 5 | W
W | T 1 3
T 8 1 | W
S archer | W
F 6 9 | F 1 5
T 1 8 | W
F 1 9 | F 4 1
S swordsman | W
W | W
S swordsman | W
T 5 5 | T 8 9
F 9 4 | W
T 1 6 | W
W | F 6 6
T 5 4 | W
T 9 5 | F 7 7
W | S swordsman
T 8 5 | W
S archer | S archer
W | W
W | W
W | F 1 5
W | S archer
W | W
S swordsman | W
W | S swordsman
W | S archer
S swordsman | S swordsman
W | T 6 1
W | F 4 4
W | W
T 8 3 | T 9 6
W | F 3 9
W | S archer
T 6 5 | W
W | W
W | F 7 1
W | T 7 7
F 4 9 | F 0 9
W | W
W | T 7 5
W | W
F 9 0 | W
W | S swordsman
W | W
W | W
W | T 5 7
T 4 0 | W
S archer | S swordsman
S swordsman | W
W | S swordsman
W | S swordsman
T 5 9 | F 4 5
W | W
F 0 1 | W
W | W
W | F 0 6
W | T 7 4
T 0 7 | T 5 6
W | F 1 7
S archer | W
W | W
W | W
W | W
W | W
F 6 4 | S archer
F 6 3 | T 6 9
T 4 1 | W
W | W
T 8 1 | T 6 4
W | W
S swordsman | W
W | S archer
W | F 7 1
W | W
F 8 6 | W
W | W
W | S archer
W | W
W | T 8 9
